event_id,event_date,group_id,before_total_shares,after_total_shares,change_shares,relative_change_pct,ownership_pct_change,transaction_type,signal_status,review_required,source_local,notes
event_2026_03_04_loo,2026-03-04,group_loo_disclosed,1033670404,1035470404,1800000,0.001741367454301226176927476391,0.00098,market_transaction,increase,false,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-05-director-interest-loo-choon-yong.pdf,Review reductions by cause before interpretation.
event_2026_03_09_sarah,2026-03-09,group_sarah_disclosed,63065182,63165182,100000,0.001585661007051402785137447157,0.00006,market_transaction,increase,false,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-10-director-interest-sarah-lu.pdf,Review reductions by cause before interpretation.
event_2026_03_23_loo,2026-03-23,group_loo_disclosed,1035470404,1035599204,128800,0.0001243879105597304932725049667,0.00007,market_transaction,increase,false,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-24-director-interest-loo-choon-yong.pdf,Review reductions by cause before interpretation.
event_2026_03_25_loo,2026-03-25,group_loo_disclosed,1035599204,1035758304,159100,0.0001536308635478634454415822436,0.00008,market_transaction,increase,false,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-26-director-interest-loo-choon-yong.pdf,Review reductions by cause before interpretation.
event_2026_05_18_loo,2026-05-18,group_loo_disclosed,1035758304,1036280304,522000,0.0005039785807017773134841311395,0.00028,market_transaction,increase,false,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-05-19-director-interest-loo-choon-yong-static.pdf,Review reductions by cause before interpretation.
