event_id,event_date,notice_date,filer_node_id,security_type,change_location,direction,transaction_type,shares_changed,price_per_share,currency,before_primary_shares,before_deemed_shares,before_total_shares,after_primary_shares,after_deemed_shares,after_total_shares,voting_shares_outstanding,before_total_pct,after_total_pct,data_classification,source_local,source_page,source_url,notes
event_2026_03_04_loo,2026-03-04,2026-03-05,person_loo,ordinary_voting_shares,direct,acquisition,market_transaction,1800000,1.01,SGD,249835323,783835081,1033670404,251635323,783835081,1035470404,1840160875,0.56173,0.56271,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-05-director-interest-loo-choon-yong.pdf,PDF p. 3-5,https://links.sgx.com/1.0.0/corporate-announcements/DGVV2PK5KAMT2H1M/877547__Form%201%20-%20LCY%20-%205%20Mar%202026.pdf,
event_2026_03_09_sarah,2026-03-09,2026-03-10,person_sarah,ordinary_voting_shares,deemed,acquisition,market_transaction,100000,0.99,SGD,0,63065182,63065182,0,63165182,63165182,1840160875,0.03427,0.03433,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-10-director-interest-sarah-lu.pdf,PDF p. 3-5,https://links.sgx.com/1.0.0/corporate-announcements/F5O10S79W28EAEWT/877983__Form%201%20-%20SL%20-%2010%20Mar%202026.pdf,The filing does not identify which deemed-interest path acquired the shares
event_2026_03_23_loo,2026-03-23,2026-03-24,person_loo,ordinary_voting_shares,direct,acquisition,market_transaction,128800,0.985,SGD,251635323,783835081,1035470404,251764123,783835081,1035599204,1840160875,0.56271,0.56278,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-24-director-interest-loo-choon-yong.pdf,PDF p. 3-5,https://links.sgx.com/1.0.0/corporate-announcements/90GS8Z6JK84R2RWN/880252__Form%201%20-%20LCY%20-%2024%20Mar%202026.pdf,
event_2026_03_25_loo,2026-03-25,2026-03-26,person_loo,ordinary_voting_shares,direct,acquisition,market_transaction,159100,0.99,SGD,251764123,783835081,1035599204,251923223,783835081,1035758304,1840160875,0.56278,0.56286,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-26-director-interest-loo-choon-yong.pdf,PDF p. 3-5,https://links.sgx.com/1.0.0/corporate-announcements/AR46ZYO6HNEOGPGJ/880654__Form%201%20-%20LCY%20-%2026%20Mar%202026.pdf,
event_2026_05_18_loo,2026-05-18,2026-05-19,person_loo,ordinary_voting_shares,direct,acquisition,market_transaction,522000,0.95,SGD,251923223,783835081,1035758304,252445223,783835081,1036280304,1840190875,0.56285,0.56313,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-05-19-director-interest-loo-choon-yong-static.pdf,PDF p. 3-5,https://links.sgx.com/1.0.0/corporate-announcements/V5Z4AONAI508IIYV/889417__Form%201%20-%20LCY%20-%2019%20May%202026.pdf,
