observation_id,as_of_date,holding_component_id,holder_node_id,shares,voting_shares_outstanding,ownership_pct,data_classification,source_local,source_page,source_url,notes
component_obs_001,2026-05-18,component_loo_direct,person_loo,252445223,1840190875,0.13718,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-05-19-director-interest-loo-choon-yong-static.pdf,PDF p. 4-5,https://links.sgx.com/1.0.0/corporate-announcements/V5Z4AONAI508IIYV/889417__Form%201%20-%20LCY%20-%2019%20May%202026.pdf,Latest direct interest
component_obs_002,2026-03-16,component_rmh,entity_rmh,719394504,1840160875,0.39094,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,PDF p. 230,https://www.rafflesmedicalgroup.com/wp-content/uploads/2026/03/Annual-Report-2025.pdf,Includes registered and nominee holdings attributed to Raffles Medical Holdings
component_obs_003,2026-03-16,component_sd,entity_sd,62755366,1840160875,0.03410,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,PDF p. 230,https://www.rafflesmedicalgroup.com/wp-content/uploads/2026/03/Annual-Report-2025.pdf,Shared overlap component
component_obs_004,2026-03-04,component_jacqueline,person_jacqueline,1685211,1840160875,0.000916,calculated_metric,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-05-director-interest-loo-choon-yong.pdf,PDF p. 4-5,https://links.sgx.com/1.0.0/corporate-announcements/DGVV2PK5KAMT2H1M/877547__Form%201%20-%20LCY%20-%205%20Mar%202026.pdf,Dr Loo deemed total less Raffles Medical Holdings and S & D Holdings; allocation uses the 2026-03-16 substantial-holder breakdown
component_obs_005,2026-03-09,component_foo,person_foo,409816,1840160875,0.000223,calculated_metric,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-03-10-director-interest-sarah-lu.pdf,PDF p. 4-5,https://links.sgx.com/1.0.0/corporate-announcements/F5O10S79W28EAEWT/877983__Form%201%20-%20SL%20-%2010%20Mar%202026.pdf,Dr Sarah Lu deemed total less the S & D Holdings component
component_obs_006,2025-12-31,component_lew_primary,person_lew,200000,,,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,PDF p. 120,https://www.rafflesmedicalgroup.com/wp-content/uploads/2026/03/Annual-Report-2025.pdf,Annual-report primary column includes director spouse or infant children
component_obs_007,2025-12-31,component_olivier_primary,person_olivier,776016,,,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,PDF p. 120,https://www.rafflesmedicalgroup.com/wp-content/uploads/2026/03/Annual-Report-2025.pdf,Annual-report primary column includes director spouse or infant children
component_obs_008,2025-12-31,component_tan_soo_nan_primary,person_tan_soo_nan,4671000,,,reported_fact,vault/companies/SGX/BSL_Raffles-Medical-Group/sources/annual-reports/fy2025.pdf,PDF p. 120,https://www.rafflesmedicalgroup.com/wp-content/uploads/2026/03/Annual-Report-2025.pdf,Historical director; retired 2026-04-24
